Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,282,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:26.894922 PM",-79.000 dBm (weak),
,283,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:05.011509",="29-Sep-17 3:54:31.906432 PM",-81.000 dBm (weak),
,284,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:31.907129 PM",-79.000 dBm (weak),
,285,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.228247",="29-Sep-17 3:54:33.135376 PM",-80.000 dBm (weak),
,286,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.260856",="29-Sep-17 3:54:34.396231 PM",-79.000 dBm (weak),
,287,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.232873",="29-Sep-17 3:54:35.629104 PM",-81.000 dBm (weak),
,288,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:35.629802 PM",-80.000 dBm (weak),
,289,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.266743",="29-Sep-17 3:54:36.896544 PM",-80.000 dBm (weak),
,290,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241961",="29-Sep-17 3:54:38.138505 PM",-81.000 dBm (weak),
,291,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.463919",="29-Sep-17 3:54:40.602424 PM",-80.000 dBm (weak),
,292,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29-Sep-17 3:54:40.603121 PM",-80.000 dBm (weak),
,293,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.527815",="29-Sep-17 3:54:43.130936 PM",-82.000 dBm (weak),
